user_country,count
HU,0.1622
ES,0.1456
LV,0.1441
EC,0.1410
CZ,0.1399
EE,0.1371
PL,0.1365
GR,0.1353
RS,0.1351
DK,0.1297
PT,0.1257
HR,0.1250
RO,0.1156
PY,0.1130
FR,0.1128
AT,0.1127
IT,0.1073
BE,0.1042
BG,0.0993
RU,0.0979
ZA,0.0978
SE,0.0959
CH,0.0951
SV,0.0914
UA,0.0877
DO,0.0868
BY,0.0833
TW,0.0815
VE,0.0808
LT,0.0789
CO,0.0772
AR,0.0754
GH,0.0738
IL,0.0734
SG,0.0717
NZ,0.0714
DE,0.0695
DZ,0.0682
GB,0.0665
NL,0.0665
IN,0.0659
HK,0.0649
JP,0.0641
EU,0.0638
FI,0.0633
CA,0.0581
NP,0.0578
BO,0.0576
PE,0.0564
PH,0.0553
A1,0.0548
AU,0.0532
MX,0.0521
US,0.0514
PK,0.0510
GT,0.0508
BR,0.0491
CR,0.0480
CL,0.0477
NO,0.0476
BD,0.0455
MY,0.0428
EG,0.0411
AE,0.0391
JO,0.0377
IE,0.0376
ET,0.0365
VN,0.0343
ID,0.0334
SA,0.0298
NG,0.0292
KE,0.0284
IR,0.0274
MA,0.0258
CN,0.0244
KZ,0.0242
TH,0.0234
TR,0.0153
LK,0.0089
KR,0.0084
